"","city_origin","city_destination","origin_lat","origin_long","destin_lat","destin_long"
"2040","BLACKWATERSOUND","ANCLOTEKEYS",25.1741461,-80.4215246,28.1889802,-82.8459982
"2041","FLORIDACITY","JUPITERINLET",25.4478898,-80.4792237,26.9443142,-80.0723599
"2042","ANCLOTEKEYS","YANKEETOWN",28.1889802,-82.8459982,29.0299729,-82.7159396
"2043","FLORIDACITY","JUPITERINLET",25.4478898,-80.4792237,26.9443142,-80.0723599
"2044","FLORIDACITY","DRYTORTUGAS",25.4478898,-80.4792237,24.633333,-82.92
"2045","BLACKWATERSOUND","ANCLOTEKEYS",25.1741461,-80.4215246,28.1889802,-82.8459982
"2046","FLORIDACITY","FLAGLERBEACH",25.4478898,-80.4792237,29.4749754,-81.1270035
"2047","ANCLOTEKEYS","YANKEETOWN",28.1889802,-82.8459982,29.0299729,-82.7159396
"2048","FLORIDACITY","FLAGLERBEACH",25.4478898,-80.4792237,29.4749754,-81.1270035
"2049","FLORIDACITY","DRYTORTUGAS",25.4478898,-80.4792237,24.633333,-82.92
"2050","BLACKWATERSOUND","ANCLOTEKEYS",25.1741461,-80.4215246,28.1889802,-82.8459982
"2051","FLORIDACITY","FLAGLERBEACH",25.4478898,-80.4792237,29.4749754,-81.1270035
"2052","ANCLOTEKEYS","YANKEETOWN",28.1889802,-82.8459982,29.0299729,-82.7159396
"2053","FLORIDACITY","FLAGLERBEACH",25.4478898,-80.4792237,29.4749754,-81.1270035
